total_doc_num=2265 doc_type=2 qry_type=2 
VOM19981208.0700.0227 0.000e-000 VOM19981208.0700.0227
VOM19981214.0900.1525 0.000e-000 VOM19981214.0900.1525

Query   2 30002.query  28
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981101.0700.0244 0.000e-000 VOM19981101.0700.0244
VOM19981101.0900.0217 0.000e-000 VOM19981101.0900.0217
VOM19981101.0900.1830 0.000e-000 VOM19981101.0900.1830
VOM19981102.0700.0198 0.000e-000 VOM19981102.0700.0198
VOM19981102.0900.1927 0.000e-000 VOM19981102.0900.1927
VOM19981103.0700.0289 0.000e-000 VOM19981103.0700.0289
VOM19981103.0700.1043 0.000e-000 VOM19981103.0700.1043
VOM19981103.0900.1781 0.000e-000 VOM19981103.0900.1781
VOM19981104.0700.0413 0.000e-000 VOM19981104.0700.0413
VOM19981104.0900.0389 0.000e-000 VOM19981104.0900.0389
VOM19981104.0900.1976 0.000e-000 VOM19981104.0900.1976
VOM19981104.0900.3385 0.000e-000 VOM19981104.0900.3385
VOM19981105.0700.0339 0.000e-000 VOM19981105.0700.0339
VOM19981105.0900.0340 0.000e-000 VOM19981105.0900.0340
VOM19981106.0900.1880 0.000e-000 VOM19981106.0900.1880
VOM19981107.0900.0288 0.000e-000 VOM19981107.0900.0288
VOM19981107.0900.2046 0.000e-000 VOM19981107.0900.2046
VOM19981108.0700.0237 0.000e-000 VOM19981108.0700.0237
VOM19981108.0900.0226 0.000e-000 VOM19981108.0900.0226
VOM19981109.0700.0410 0.000e-000 VOM19981109.0700.0410
VOM19981109.0700.0443 0.000e-000 VOM19981109.0700.0443
VOM19981111.0700.0433 0.000e-000 VOM19981111.0700.0433
VOM19981115.0700.1920 0.000e-000 VOM19981115.0700.1920
VOM19981116.0700.0423 0.000e-000 VOM19981116.0700.0423
VOM19981120.0700.0562 0.000e-000 VOM19981120.0700.0562
VOM19981124.0700.0514 0.000e-000 VOM19981124.0700.0514
VOM19981203.0700.0522 0.000e-000 VOM19981203.0700.0522
VOM19981225.0700.1412 0.000e-000 VOM19981225.0700.1412

Query   3 30003.query  25
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981031.0900.3321 0.000e-000 VOM19981031.0900.3321
VOM19981031.0900.3468 0.000e-000 VOM19981031.0900.3468
VOM19981101.0900.0252 0.000e-000 VOM19981101.0900.0252
VOM19981103.0900.3476 0.000e-000 VOM19981103.0900.3476
VOM19981104.0700.0444 0.000e-000 VOM19981104.0700.0444
VOM19981104.0700.3001 0.000e-000 VOM19981104.0700.3001
VOM19981104.0900.0366 0.000e-000 VOM19981104.0900.0366
VOM19981104.0900.2050 0.000e-000 VOM19981104.0900.2050
VOM19981105.0700.0262 0.000e-000 VOM19981105.0700.0262
VOM19981106.0900.3457 0.000e-000 VOM19981106.0900.3457
VOM19981107.0900.2135 0.000e-000 VOM19981107.0900.2135
VOM19981108.0700.0112 0.000e-000 VOM19981108.0700.0112
VOM19981108.0900.0181 0.000e-000 VOM19981108.0900.0181
VOM19981109.0700.0473 0.000e-000 VOM19981109.0700.0473
VOM19981109.0900.0218 0.000e-000 VOM19981109.0900.0218
VOM19981111.0700.0318 0.000e-000 VOM19981111.0700.0318
VOM19981125.0700.0335 0.000e-000 VOM19981125.0700.0335
VOM19981125.0900.3292 0.000e-000 VOM19981125.0900.3292
VOM19981126.0700.0461 0.000e-000 VOM19981126.0700.0461
VOM19981127.0700.0273 0.000e-000 VOM19981127.0700.0273
VOM19981202.0700.0339 0.000e-000 VOM19981202.0700.0339
VOM19981212.0700.0636 0.000e-000 VOM19981212.0700.0636
VOM19981215.0700.0418 0.000e-000 VOM19981215.0700.0418
VOM19981215.0900.0364 0.000e-000 VOM19981215.0900.0364
VOM19981217.0900.2117 0.000e-000 VOM19981217.0900.2117

Query   4 30004.query   6
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981221.0700.0663 0.000e-000 VOM19981221.0700.0663
VOM19981221.0900.0393 0.000e-000 VOM19981221.0900.0393
VOM19981224.0700.0542 0.000e-000 VOM19981224.0700.0542
VOM19981225.0700.0646 0.000e-000 VOM19981225.0700.0646
VOM19981225.0700.1754 0.000e-000 VOM19981225.0700.1754
VOM19981227.0900.1896 0.000e-000 VOM19981227.0900.1896

Query   5 30007.query  46
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981006.1000.3432 0.000e-000 VOM19981006.1000.3432
VOM19981012.0800.0447 0.000e-000 VOM19981012.0800.0447
VOM19981013.0800.0470 0.000e-000 VOM19981013.0800.0470
VOM19981013.1000.0333 0.000e-000 VOM19981013.1000.0333
VOM19981102.0700.0298 0.000e-000 VOM19981102.0700.0298
VOM19981102.0900.0234 0.000e-000 VOM19981102.0900.0234
VOM19981102.0900.3411 0.000e-000 VOM19981102.0900.3411
VOM19981103.0700.0456 0.000e-000 VOM19981103.0700.0456
VOM19981103.0900.0379 0.000e-000 VOM19981103.0900.0379
VOM19981104.0900.0344 0.000e-000 VOM19981104.0900.0344
VOM19981104.0900.1942 0.000e-000 VOM19981104.0900.1942
VOM19981104.0900.3349 0.000e-000 VOM19981104.0900.3349
VOM19981106.0900.1838 0.000e-000 VOM19981106.0900.1838
VOM19981106.0900.3387 0.000e-000 VOM19981106.0900.3387
VOM19981107.0900.2089 0.000e-000 VOM19981107.0900.2089
VOM19981107.0900.3490 0.000e-000 VOM19981107.0900.3490
VOM19981115.0900.2043 0.000e-000 VOM19981115.0900.2043
VOM19981116.0900.0392 0.000e-000 VOM19981116.0900.0392
VOM19981116.0900.1966 0.000e-000 VOM19981116.0900.1966
VOM19981120.0900.0400 0.000e-000 VOM19981120.0900.0400
VOM19981120.0900.2115 0.000e-000 VOM19981120.0900.2115
VOM19981121.0700.0220 0.000e-000 VOM19981121.0700.0220
VOM19981121.0900.0221 0.000e-000 VOM19981121.0900.0221
VOM19981121.0900.1946 0.000e-000 VOM19981121.0900.1946
VOM19981121.0900.3502 0.000e-000 VOM19981121.0900.3502
VOM19981123.0900.0376 0.000e-000 VOM19981123.0900.0376
VOM19981123.0900.3392 0.000e-000 VOM19981123.0900.3392
VOM19981124.0700.0580 0.000e-000 VOM19981124.0700.0580
VOM19981124.0900.3381 0.000e-000 VOM19981124.0900.3381
VOM19981125.0700.0606 0.000e-000 VOM19981125.0700.0606
VOM19981127.0700.0384 0.000e-000 VOM19981127.0700.0384
VOM19981129.0700.0141 0.000e-000 VOM19981129.0700.0141
VOM19981130.0700.0242 0.000e-000 VOM19981130.0700.0242
VOM19981130.0900.1937 0.000e-000 VOM19981130.0900.1937
VOM19981130.0900.3346 0.000e-000 VOM19981130.0900.3346
VOM19981214.0900.0377 0.000e-000 VOM19981214.0900.0377
VOM19981214.0900.1832 0.000e-000 VOM19981214.0900.1832
VOM19981214.0900.3400 0.000e-000 VOM19981214.0900.3400
VOM19981215.0900.1848 0.000e-000 VOM19981215.0900.1848
VOM19981215.0900.3463 0.000e-000 VOM19981215.0900.3463
VOM19981218.0700.0640 0.000e-000 VOM19981218.0700.0640
VOM19981219.0700.0268 0.000e-000 VOM19981219.0700.0268
VOM19981219.0700.1381 0.000e-000 VOM19981219.0700.1381
VOM19981227.0700.2096 0.000e-000 VOM19981227.0700.2096
VOM19981228.0700.0372 0.000e-000 VOM19981228.0700.0372
VOM19981231.0900.3482 0.000e-000 VOM19981231.0900.3482

Query   6 30008.query  49
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981105.0900.2515 0.000e-000 VOM19981105.0900.2515
VOM19981107.0700.2567 0.000e-000 VOM19981107.0700.2567
VOM19981109.0700.0937 0.000e-000 VOM19981109.0700.0937
VOM19981111.0700.0255 0.000e-000 VOM19981111.0700.0255
VOM19981112.0700.1509 0.000e-000 VOM19981112.0700.1509
VOM19981113.0700.0282 0.000e-000 VOM19981113.0700.0282
VOM19981113.0700.0318 0.000e-000 VOM19981113.0700.0318
VOM19981113.0700.1503 0.000e-000 VOM19981113.0700.1503
VOM19981113.0700.1635 0.000e-000 VOM19981113.0700.1635
VOM19981113.0700.1793 0.000e-000 VOM19981113.0700.1793
VOM19981113.0900.0415 0.000e-000 VOM19981113.0900.0415
VOM19981114.0700.0127 0.000e-000 VOM19981114.0700.0127
VOM19981114.0700.0335 0.000e-000 VOM19981114.0700.0335
VOM19981114.0700.0616 0.000e-000 VOM19981114.0700.0616
VOM19981114.0700.2336 0.000e-000 VOM19981114.0700.2336
VOM19981114.0900.0129 0.000e-000 VOM19981114.0900.0129
VOM19981114.0900.0448 0.000e-000 VOM19981114.0900.0448
VOM19981114.0900.1855 0.000e-000 VOM19981114.0900.1855
VOM19981114.0900.1889 0.000e-000 VOM19981114.0900.1889
VOM19981114.0900.3400 0.000e-000 VOM19981114.0900.3400
VOM19981115.0700.0378 0.000e-000 VOM19981115.0700.0378
VOM19981115.0700.1059 0.000e-000 VOM19981115.0700.1059
VOM19981115.0900.1083 0.000e-000 VOM19981115.0900.1083
VOM19981115.0900.1627 0.000e-000 VOM19981115.0900.1627
VOM19981115.0900.3333 0.000e-000 VOM19981115.0900.3333
VOM19981116.0700.0314 0.000e-000 VOM19981116.0700.0314
VOM19981116.0700.1059 0.000e-000 VOM19981116.0700.1059
VOM19981116.0700.1129 0.000e-000 VOM19981116.0700.1129
VOM19981116.0900.0357 0.000e-000 VOM19981116.0900.0357
VOM19981116.0900.0407 0.000e-000 VOM19981116.0900.0407
VOM19981116.0900.0576 0.000e-000 VOM19981116.0900.0576
VOM19981116.0900.0828 0.000e-000 VOM19981116.0900.0828
VOM19981116.0900.1888 0.000e-000 VOM19981116.0900.1888
VOM19981118.0700.0212 0.000e-000 VOM19981118.0700.0212
VOM19981118.0700.0292 0.000e-000 VOM19981118.0700.0292
VOM19981118.0700.0713 0.000e-000 VOM19981118.0700.0713
VOM19981118.0700.1008 0.000e-000 VOM19981118.0700.1008
VOM19981118.0900.0228 0.000e-000 VOM19981118.0900.0228
VOM19981118.0900.0643 0.000e-000 VOM19981118.0900.0643
VOM19981118.0900.1723 0.000e-000 VOM19981118.0900.1723
VOM19981118.0900.3340 0.000e-000 VOM19981118.0900.3340
VOM19981119.0700.0674 0.000e-000 VOM19981119.0700.0674
VOM19981120.0900.1474 0.000e-000 VOM19981120.0900.1474
VOM19981121.0900.1277 0.000e-000 VOM19981121.0900.1277
VOM19981121.0900.1337 0.000e-000 VOM19981121.0900.1337
VOM19981122.0700.0191 0.000e-000 VOM19981122.0700.0191
VOM19981122.0900.0209 0.000e-000 VOM19981122.0900.0209
VOM19981123.0700.0223 0.000e-000 VOM19981123.0700.0223
VOM19981123.0900.1818 0.000e-000 VOM19981123.0900.1818

Query   7 30010.query  12
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981106.0700.0105 0.000e-000 VOM19981106.0700.0105
VOM19981106.0700.0895 0.000e-000 VOM19981106.0700.0895
VOM19981106.0900.0113 0.000e-000 VOM19981106.0900.0113
VOM19981106.0900.1643 0.000e-000 VOM19981106.0900.1643
VOM19981106.0900.3293 0.000e-000 VOM19981106.0900.3293
VOM19981107.0700.0137 0.000e-000 VOM19981107.0700.0137
VOM19981107.0700.2796 0.000e-000 VOM19981107.0700.2796
VOM19981107.0900.0097 0.000e-000 VOM19981107.0900.0097
VOM19981107.0900.1900 0.000e-000 VOM19981107.0900.1900
VOM19981107.0900.3372 0.000e-000 VOM19981107.0900.3372
VOM19981109.0700.0220 0.000e-000 VOM19981109.0700.0220
VOM19981111.0700.0191 0.000e-000 VOM19981111.0700.0191

Query   8 30012.query   3
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981118.0700.0622 0.000e-000 VOM19981118.0700.0622
VOM19981118.0900.0389 0.000e-000 VOM19981118.0900.0389
VOM19981118.0900.3474 0.000e-000 VOM19981118.0900.3474

Query   9 30013.query  28
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981031.0900.1565 0.000e-000 VOM19981031.0900.1565
VOM19981103.0900.0115 0.000e-000 VOM19981103.0900.0115
VOM19981103.0900.1047 0.000e-000 VOM19981103.0900.1047
VOM19981103.0900.1638 0.000e-000 VOM19981103.0900.1638
VOM19981103.0900.3291 0.000e-000 VOM19981103.0900.3291
VOM19981105.0900.0416 0.000e-000 VOM19981105.0900.0416
VOM19981105.0900.2125 0.000e-000 VOM19981105.0900.2125
VOM19981105.0900.3415 0.000e-000 VOM19981105.0900.3415
VOM19981106.0700.1169 0.000e-000 VOM19981106.0700.1169
VOM19981106.0900.0878 0.000e-000 VOM19981106.0900.0878
VOM19981106.0900.1121 0.000e-000 VOM19981106.0900.1121
VOM19981107.0700.0217 0.000e-000 VOM19981107.0700.0217
VOM19981107.0700.0372 0.000e-000 VOM19981107.0700.0372
VOM19981107.0900.0235 0.000e-000 VOM19981107.0900.0235
VOM19981107.0900.0378 0.000e-000 VOM19981107.0900.0378
VOM19981109.0900.0420 0.000e-000 VOM19981109.0900.0420
VOM19981111.0700.0672 0.000e-000 VOM19981111.0700.0672
VOM19981112.0700.0566 0.000e-000 VOM19981112.0700.0566
VOM19981112.0900.0142 0.000e-000 VOM19981112.0900.0142
VOM19981112.0900.0420 0.000e-000 VOM19981112.0900.0420
VOM19981112.0900.1781 0.000e-000 VOM19981112.0900.1781
VOM19981112.0900.3324 0.000e-000 VOM19981112.0900.3324
VOM19981113.0700.0981 0.000e-000 VOM19981113.0700.0981
VOM19981113.0900.0850 0.000e-000 VOM19981113.0900.0850
VOM19981113.0900.1069 0.000e-000 VOM19981113.0900.1069
VOM19981114.0900.0389 0.000e-000 VOM19981114.0900.0389
VOM19981118.0900.0956 0.000e-000 VOM19981118.0900.0956
VOM19981125.0700.1335 0.000e-000 VOM19981125.0700.1335

Query  10 30015.query  30
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981005.1000.0115 0.000e-000 VOM19981005.1000.0115
VOM19981005.1000.1868 0.000e-000 VOM19981005.1000.1868
VOM19981006.0800.0159 0.000e-000 VOM19981006.0800.0159
VOM19981006.1000.0112 0.000e-000 VOM19981006.1000.0112
VOM19981006.1000.1820 0.000e-000 VOM19981006.1000.1820
VOM19981007.0800.0097 0.000e-000 VOM19981007.0800.0097
VOM19981007.0800.1371 0.000e-000 VOM19981007.0800.1371
VOM19981007.1000.0114 0.000e-000 VOM19981007.1000.0114
VOM19981007.1000.1714 0.000e-000 VOM19981007.1000.1714
VOM19981008.0800.0115 0.000e-000 VOM19981008.0800.0115
VOM19981009.0800.0111 0.000e-000 VOM19981009.0800.0111
VOM19981009.1000.0113 0.000e-000 VOM19981009.1000.0113
VOM19981009.1000.1733 0.000e-000 VOM19981009.1000.1733
VOM19981009.1000.3293 0.000e-000 VOM19981009.1000.3293
VOM19981010.0800.0050 0.000e-000 VOM19981010.0800.0050
VOM19981010.0800.0343 0.000e-000 VOM19981010.0800.0343
VOM19981010.0800.1786 0.000e-000 VOM19981010.0800.1786
VOM19981011.0800.0062 0.000e-000 VOM19981011.0800.0062
VOM19981011.0800.0375 0.000e-000 VOM19981011.0800.0375
VOM19981012.0800.0126 0.000e-000 VOM19981012.0800.0126
VOM19981012.0800.0694 0.000e-000 VOM19981012.0800.0694
VOM19981012.0800.0837 0.000e-000 VOM19981012.0800.0837
VOM19981012.0800.1161 0.000e-000 VOM19981012.0800.1161
VOM19981012.1000.0115 0.000e-000 VOM19981012.1000.0115
VOM19981012.1000.3292 0.000e-000 VOM19981012.1000.3292
VOM19981013.0800.0127 0.000e-000 VOM19981013.0800.0127
VOM19981013.0800.0662 0.000e-000 VOM19981013.0800.0662
VOM19981013.1000.0116 0.000e-000 VOM19981013.1000.0116
VOM19981013.1000.1743 0.000e-000 VOM19981013.1000.1743
VOM19981013.1000.3294 0.000e-000 VOM19981013.1000.3294

Query  11 30016.query   5
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981001.0800.0469 0.000e-000 VOM19981001.0800.0469
VOM19981001.1000.0359 0.000e-000 VOM19981001.1000.0359
VOM19981001.1000.2228 0.000e-000 VOM19981001.1000.2228
VOM19981008.0800.2500 0.000e-000 VOM19981008.0800.2500
VOM19981031.0900.0668 0.000e-000 VOM19981031.0900.0668

Query  12 30017.query   9
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981001.1000.2267 0.000e-000 VOM19981001.1000.2267
VOM19981011.0800.1960 0.000e-000 VOM19981011.0800.1960
VOM19981031.0900.0263 0.000e-000 VOM19981031.0900.0263
VOM19981031.0900.2037 0.000e-000 VOM19981031.0900.2037
VOM19981111.0700.1876 0.000e-000 VOM19981111.0700.1876
VOM19981112.0900.0211 0.000e-000 VOM19981112.0900.0211
VOM19981112.0900.1854 0.000e-000 VOM19981112.0900.1854
VOM19981112.0900.3394 0.000e-000 VOM19981112.0900.3394
VOM19981214.0700.0430 0.000e-000 VOM19981214.0700.0430

Query  13 30018.query  24
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981005.0800.0350 0.000e-000 VOM19981005.0800.0350
VOM19981005.1000.2084 0.000e-000 VOM19981005.1000.2084
VOM19981006.0800.0236 0.000e-000 VOM19981006.0800.0236
VOM19981006.1000.0188 0.000e-000 VOM19981006.1000.0188
VOM19981006.1000.0422 0.000e-000 VOM19981006.1000.0422
VOM19981006.1000.1862 0.000e-000 VOM19981006.1000.1862
VOM19981006.1000.3395 0.000e-000 VOM19981006.1000.3395
VOM19981007.0800.0225 0.000e-000 VOM19981007.0800.0225
VOM19981007.0800.0305 0.000e-000 VOM19981007.0800.0305
VOM19981007.0800.0782 0.000e-000 VOM19981007.0800.0782
VOM19981007.1000.0234 0.000e-000 VOM19981007.1000.0234
VOM19981007.1000.0424 0.000e-000 VOM19981007.1000.0424
VOM19981007.1000.1889 0.000e-000 VOM19981007.1000.1889
VOM19981007.1000.3388 0.000e-000 VOM19981007.1000.3388
VOM19981009.0800.0285 0.000e-000 VOM19981009.0800.0285
VOM19981009.0800.0758 0.000e-000 VOM19981009.0800.0758
VOM19981009.0800.2906 0.000e-000 VOM19981009.0800.2906
VOM19981009.0800.2956 0.000e-000 VOM19981009.0800.2956
VOM19981009.1000.0217 0.000e-000 VOM19981009.1000.0217
VOM19981009.1000.0366 0.000e-000 VOM19981009.1000.0366
VOM19981009.1000.1844 0.000e-000 VOM19981009.1000.1844
VOM19981009.1000.3141 0.000e-000 VOM19981009.1000.3141
VOM19981009.1000.3407 0.000e-000 VOM19981009.1000.3407
VOM19981010.0800.2082 0.000e-000 VOM19981010.0800.2082

Query  14 30019.query   8
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981107.0700.1816 0.000e-000 VOM19981107.0700.1816
VOM19981107.0900.3104 0.000e-000 VOM19981107.0900.3104
VOM19981109.0900.3081 0.000e-000 VOM19981109.0900.3081
VOM19981112.0700.0915 0.000e-000 VOM19981112.0700.0915
VOM19981112.0900.1014 0.000e-000 VOM19981112.0900.1014
VOM19981114.0700.0895 0.000e-000 VOM19981114.0700.0895
VOM19981114.0700.1846 0.000e-000 VOM19981114.0700.1846
VOM19981227.0700.1204 0.000e-000 VOM19981227.0700.1204

Query  15 30020.query  13
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981116.0700.2461 0.000e-000 VOM19981116.0700.2461
VOM19981204.0700.2098 0.000e-000 VOM19981204.0700.2098
VOM19981208.0900.2995 0.000e-000 VOM19981208.0900.2995
VOM19981211.0900.3061 0.000e-000 VOM19981211.0900.3061
VOM19981212.0700.2583 0.000e-000 VOM19981212.0700.2583
VOM19981212.0700.2763 0.000e-000 VOM19981212.0700.2763
VOM19981212.0900.2097 0.000e-000 VOM19981212.0900.2097
VOM19981213.0700.1589 0.000e-000 VOM19981213.0700.1589
VOM19981213.0900.1859 0.000e-000 VOM19981213.0900.1859
VOM19981213.0900.1997 0.000e-000 VOM19981213.0900.1997
VOM19981217.0700.0470 0.000e-000 VOM19981217.0700.0470
VOM19981217.0900.2467 0.000e-000 VOM19981217.0900.2467
VOM19981220.0700.2502 0.000e-000 VOM19981220.0700.2502

Query  16 30022.query  89
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981104.0900.0754 0.000e-000 VOM19981104.0900.0754
VOM19981104.0900.1489 0.000e-000 VOM19981104.0900.1489
VOM19981104.0900.2122 0.000e-000 VOM19981104.0900.2122
VOM19981106.0900.2327 0.000e-000 VOM19981106.0900.2327
VOM19981201.0700.0983 0.000e-000 VOM19981201.0700.0983
VOM19981201.0900.1077 0.000e-000 VOM19981201.0900.1077
VOM19981202.0900.0127 0.000e-000 VOM19981202.0900.0127
VOM19981202.0900.0522 0.000e-000 VOM19981202.0900.0522
VOM19981202.0900.1930 0.000e-000 VOM19981202.0900.1930
VOM19981202.0900.3373 0.000e-000 VOM19981202.0900.3373
VOM19981203.0700.0119 0.000e-000 VOM19981203.0700.0119
VOM19981203.0900.0203 0.000e-000 VOM19981203.0900.0203
VOM19981203.0900.0437 0.000e-000 VOM19981203.0900.0437
VOM19981203.0900.1634 0.000e-000 VOM19981203.0900.1634
VOM19981203.0900.3371 0.000e-000 VOM19981203.0900.3371
VOM19981204.0900.0409 0.000e-000 VOM19981204.0900.0409
VOM19981208.0900.0277 0.000e-000 VOM19981208.0900.0277
VOM19981208.0900.2143 0.000e-000 VOM19981208.0900.2143
VOM19981212.0700.1837 0.000e-000 VOM19981212.0700.1837
VOM19981213.0700.0226 0.000e-000 VOM19981213.0700.0226
VOM19981213.0700.1183 0.000e-000 VOM19981213.0700.1183
VOM19981213.0700.1436 0.000e-000 VOM19981213.0700.1436
VOM19981213.0900.0257 0.000e-000 VOM19981213.0900.0257
VOM19981213.0900.1158 0.000e-000 VOM19981213.0900.1158
VOM19981213.0900.1411 0.000e-000 VOM19981213.0900.1411
VOM19981213.0900.1743 0.000e-000 VOM19981213.0900.1743
VOM19981214.0900.2052 0.000e-000 VOM19981214.0900.2052
VOM19981215.0900.0201 0.000e-000 VOM19981215.0900.0201
VOM19981215.0900.0733 0.000e-000 VOM19981215.0900.0733
VOM19981215.0900.1718 0.000e-000 VOM19981215.0900.1718
VOM19981215.0900.3416 0.000e-000 VOM19981215.0900.3416
VOM19981216.0900.0420 0.000e-000 VOM19981216.0900.0420
VOM19981216.0900.0597 0.000e-000 VOM19981216.0900.0597
VOM19981216.0900.0929 0.000e-000 VOM19981216.0900.0929
VOM19981217.0700.2303 0.000e-000 VOM19981217.0700.2303
VOM19981217.0900.1008 0.000e-000 VOM19981217.0900.1008
VOM19981217.0900.2084 0.000e-000 VOM19981217.0900.2084
VOM19981218.0700.0397 0.000e-000 VOM19981218.0700.0397
VOM19981218.0900.0259 0.000e-000 VOM19981218.0900.0259
VOM19981218.0900.0397 0.000e-000 VOM19981218.0900.0397
VOM19981218.0900.2118 0.000e-000 VOM19981218.0900.2118
VOM19981218.0900.3501 0.000e-000 VOM19981218.0900.3501
VOM19981219.0700.0151 0.000e-000 VOM19981219.0700.0151
VOM19981219.0700.1669 0.000e-000 VOM19981219.0700.1669
VOM19981219.0700.2668 0.000e-000 VOM19981219.0700.2668
VOM19981220.0700.1457 0.000e-000 VOM19981220.0700.1457
VOM19981220.0900.1430 0.000e-000 VOM19981220.0900.1430
VOM19981221.0700.0289 0.000e-000 VOM19981221.0700.0289
VOM19981221.0900.0330 0.000e-000 VOM19981221.0900.0330
VOM19981221.0900.0416 0.000e-000 VOM19981221.0900.0416
VOM19981221.0900.1356 0.000e-000 VOM19981221.0900.1356
VOM19981221.0900.1686 0.000e-000 VOM19981221.0900.1686
VOM19981221.0900.2180 0.000e-000 VOM19981221.0900.2180
VOM19981221.0900.3473 0.000e-000 VOM19981221.0900.3473
VOM19981222.0700.0332 0.000e-000 VOM19981222.0700.0332
VOM19981222.0700.0648 0.000e-000 VOM19981222.0700.0648
VOM19981222.0900.0265 0.000e-000 VOM19981222.0900.0265
VOM19981222.0900.0420 0.000e-000 VOM19981222.0900.0420
VOM19981222.0900.1084 0.000e-000 VOM19981222.0900.1084
VOM19981222.0900.2008 0.000e-000 VOM19981222.0900.2008
VOM19981222.0900.3294 0.000e-000 VOM19981222.0900.3294
